#min ev;max ev;ad_tax;ad_taxd
1901;2020;33.1;2007-07-20
1901;2020;32.3;2017-08-04
1901;2020;32.0;1950-07-05
1901;2020;31.9;2007-07-19
1901;2020;31.5;2007-07-18
1901;2020;31.4;2013-07-29
1901;2020;31.3;2012-08-06
1901;2020;31.2;2017-08-03
1901;2020;31.2;2013-08-08
1901;2020;31.0;2015-07-07

#min ev;max ev;ad_tan;ad_tand
1901;2020;-20.6;1942-01-24
1901;2020;-19.2;1929-02-10
1901;2020;-19.1;1929-02-11
1901;2020;-17.6;1902-12-15
1901;2020;-17.3;1942-01-23
1901;2020;-16.6;1929-02-12
1901;2020;-16.5;1987-01-12
1901;2020;-16.4;1902-12-14
1901;2020;-16.1;1942-01-22
1901;2020;-15.7;1956-02-09

#min ev;max ev;am_tax;am_taxd
1901;2020;26.6;1992-08
1901;2020;25.1;2018-08
1901;2020;25.1;2015-07
1901;2020;25.0;2003-08
1901;2020;24.9;2019-06
1901;2020;24.9;2015-08
1901;2020;24.9;1995-07
1901;2020;24.8;2006-07
1901;2020;24.8;1994-07
1901;2020;24.7;2019-08

#min ev;max ev;am_tan;am_tand
1901;2020;-8.7;1942-01
1901;2020;-7.7;1929-02
1901;2020;-7.2;1956-02
1901;2020;-7.0;1940-01
1901;2020;-5.9;1964-01
1901;2020;-5.7;1947-01
1901;2020;-5.3;1963-01
1901;2020;-5.0;1940-02
1901;2020;-4.8;1954-01
1901;2020;-4.7;1901-01

#min ev;max ev;ay_tax;ay_taxd
1901;2020;14.0;2019
1901;2020;13.9;2018
1901;2020;13.4;2014
1901;2020;13.3;2015
1901;2020;13.3;2007
1901;2020;13.2;2020
1901;2020;13.0;2012
1901;2020;12.9;2008
1901;2020;12.8;2017
1901;2020;12.7;2000

#min ev;max ev;ay_tan;ay_tand
1901;2020;8.9;1940
1901;2020;9.6;1912
1901;2020;9.7;1956
1901;2020;9.9;1941
1901;2020;9.9;1922
1901;2020;9.9;1914
1901;2020;10.0;1965
1901;2020;10.0;1942
1901;2020;10.0;1929
1901;2020;10.0;1924

#min ev;max ev;ad_txx;ad_txxd
1901;2020;40.1;2007-07-20
1901;2020;39.5;1935-06-28
1901;2020;39.4;2007-07-18
1901;2020;39.1;2017-08-04
1901;2020;39.0;2007-07-19
1901;2020;39.0;1943-08-21
1901;2020;38.7;2013-08-08
1901;2020;38.7;1921-08-12
1901;2020;38.5;1952-08-15
1901;2020;38.4;1943-08-22

#min ev;max ev;ad_tnn;ad_tnnd
1901;2020;-23.4;1929-02-11
1901;2020;-21.8;1929-02-10
1901;2020;-21.7;1942-01-24
1901;2020;-21.5;1942-01-25
1901;2020;-19.1;1927-12-22
1901;2020;-19.0;1917-02-09
1901;2020;-18.9;1902-12-15
1901;2020;-18.8;1956-02-10
1901;2020;-18.8;1942-01-23
1901;2020;-18.7;1942-01-22

#min ev;max ev;ad_rx;ad_rxd
1901;2020;115.4;2015-08-17
1901;2020;93.9;1937-05-23
1901;2020;78.0;1954-06-01
1901;2020;75.1;1989-06-26
1901;2020;71.0;1955-08-14
1901;2020;69.6;2005-08-04
1901;2020;67.3;2010-05-15
1901;2020;64.3;1920-07-29
1901;2020;62.1;1915-09-03
1901;2020;61.6;1929-08-13

#min ev;max ev;am_rsx;am_rsxd
1901;2020;263.1;1955-08
1901;2020;237.8;1999-06
1901;2020;211.0;1924-06
1901;2020;191.6;2010-05
1901;2020;180.8;2005-08
1901;2020;179.3;1914-07
1901;2020;172.8;1962-11
1901;2020;168.7;1989-06
1901;2020;164.7;2015-08
1901;2020;161.5;1926-06

#min ev;max ev;am_rsn;am_rsnd
1901;2020;0.0;2011-11
1901;2020;0.0;1995-10
1901;2020;0.2;1998-02
1901;2020;0.2;1946-09
1901;2020;0.3;1962-08
1901;2020;0.4;1986-09
1901;2020;0.5;2003-03
1901;2020;0.5;1991-01
1901;2020;0.5;1949-02
1901;2020;0.6;1961-09

#min ev;max ev;ay_rsx;ay_rsxd
1901;2020;987.5;1937
1901;2020;939.9;1915
1901;2020;898.8;1955
1901;2020;842.2;1999
1901;2020;815.9;1965
1901;2020;815.2;2010
1901;2020;787.4;1952
1901;2020;785.4;1914
1901;2020;776.2;1940
1901;2020;770.6;1936

#min ev;max ev;ay_rsn;ay_rsnd
1901;2020;290.5;2011
1901;2020;326.6;1997
1901;2020;344.7;2003
1901;2020;364.1;1992
1901;2020;383.6;2012
1901;2020;388.6;2000
1901;2020;397.7;1973
1901;2020;400.9;1961
1901;2020;414.1;1986
1901;2020;415.7;1990

#min ev;max ev;ad_sx;ad_sxd
1901;2020;15.3;1935-07-01
1901;2020;15.3;1935-06-06
1901;2020;15.3;1934-06-18
1901;2020;15.3;1930-07-03
1901;2020;15.2;2012-06-16
1901;2020;15.2;1968-07-01
1901;2020;15.2;1935-06-13
1901;2020;15.2;1935-06-08
1901;2020;15.2;1931-07-11
1901;2020;15.2;1921-06-08

#min ev;max ev;am_ssx;am_ssxd
1901;2020;379.6;1928-07
1901;2020;373.8;1930-06
1901;2020;363.3;1931-07
1901;2020;358.9;1929-07
1901;2020;358.5;1936-07
1901;2020;357.0;1952-07
1901;2020;356.0;1917-06
1901;2020;354.4;2000-06
1901;2020;354.0;1933-07
1901;2020;352.1;1939-07

#min ev;max ev;am_ssn;am_ssnd
1901;2020;5.1;1934-12
1901;2020;6.1;1969-12
1901;2020;7.3;1933-01
1901;2020;11.9;1950-12
1901;2020;16.2;1920-12
1901;2020;18.6;1938-12
1901;2020;19.5;1942-01
1901;2020;20.3;1947-02
1901;2020;20.6;1971-01
1901;2020;22.0;1959-12

#min ev;max ev;ay_ssx;ay_ssxd
1901;2020;2472.6;2012
1901;2020;2393.1;2011
1901;2020;2302.8;2003
1901;2020;2299.7;1931
1901;2020;2292.9;1946
1901;2020;2279.4;2007
1901;2020;2277.6;1935
1901;2020;2271.6;1928
1901;2020;2259.6;1949
1901;2020;2240.8;1930

#min ev;max ev;ay_ssn;ay_ssnd
1901;2020;1505.2;1912
1901;2020;1627.4;1913
1901;2020;1646.4;1972
1901;2020;1656.9;1970
1901;2020;1683.8;1914
1901;2020;1686.2;1915
1901;2020;1735.1;1916
1901;2020;1743.1;1980
1901;2020;1748.1;1974
1901;2020;1748.6;1955
